 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1981                                        
 Date:  21. 3.    Time:  15:17:51
 Units: L = cm   , T = days , M = mmol 


 Time:      61.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  21  -101.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.6669E-06
  20  -103.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.5406E-06
  19  -106.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.3945E-06
  18  -109.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2879E-06
  17  -112.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2101E-06
  16  -115.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1533E-06
  15  -118.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1119E-06
  14  -121.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.8167E-07
  13  -124.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.5960E-07
  12  -127.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.4350E-07
  11  -130.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.3174E-07
  10  -134.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2086E-07
   9  -138.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1370E-07
   8  -142.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.9004E-08
   7  -146.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.5916E-08
   6  -150.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.3887E-08
   5  -154.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.2554E-08
   4  -158.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1678E-08
   3  -162.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.1103E-08
   2  -166.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.7244E-09
   1  -170.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0     15.0000  0.018000  0.4760E-09
end


 Time:      92.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  96     0.00     -46.036 0.3752   0.2843E+00  0.1497E-02 -0.9805E+00  0.0000E+00  -1   0     15.1704  0.000330  0.3271E-01
  95    -1.00     -48.671 0.3715   0.2552E+00  0.1430E-02 -0.9593E+00  0.9500E-02  -1   0     15.7141  0.005627  0.3340E-01
  94    -2.00     -51.550 0.3677   0.2285E+00  0.1363E-02 -0.9144E+00  0.9371E-02  -1   0     16.2489  0.009605  0.3153E-01
  93    -3.00     -54.717 0.3634   0.1990E+00  0.1289E-02 -0.8632E+00  0.9259E-02  -1   0     16.7363  0.012726  0.2965E-01
  92    -4.00     -58.301 0.3587   0.1656E+00  0.1205E-02 -0.8090E+00  0.9166E-02  -1   0     17.1846  0.015104  0.2776E-01
  91    -5.00     -62.310 0.3543   0.1467E+00  0.1139E-02 -0.7528E+00  0.9091E-02  -1   0     17.5963  0.016899  0.2587E-01
  90    -6.00     -66.583 0.3498   0.1276E+00  0.1071E-02 -0.6899E+00  0.9032E-02  -1   0     17.9657  0.018242  0.2403E-01
  89    -7.00     -71.175 0.3448   0.1072E+00  0.9976E-03 -0.6232E+00  0.8986E-02  -1   0     18.2911  0.019248  0.2224E-01
  88    -8.00     -76.137 0.3401   0.9065E-01  0.9314E-03 -0.5562E+00  0.8802E-02  -1   0     18.5732  0.020007  0.2048E-01
  87    -9.00     -81.265 0.3357   0.7991E-01  0.8773E-03 -0.4872E+00  0.8483E-02  -1   0     18.8130  0.020579  0.1876E-01
  86   -10.00     -86.318 0.3314   0.6935E-01  0.8242E-03 -0.4162E+00  0.8175E-02  -1   0     19.0118  0.021009  0.1713E-01
  85   -11.00     -91.245 0.3273   0.5908E-01  0.7726E-03 -0.3482E+00  0.7875E-02  -1   0     19.1714  0.021335  0.1560E-01
  84   -12.00     -95.914 0.3238   0.5234E-01  0.7334E-03 -0.2860E+00  0.7582E-02  -1   0     19.2939  0.021583  0.1414E-01
  83   -13.00     -99.999 0.3211   0.4838E-01  0.7056E-03 -0.2283E+00  0.7294E-02  -1   0     19.3821  0.021774  0.1281E-01
  82   -14.00    -103.284 0.3189   0.4520E-01  0.6832E-03 -0.1754E+00  0.7010E-02  -1   0     19.4390  0.021922  0.1159E-01
  81   -15.00    -105.699 0.3173   0.4286E-01  0.6667E-03 -0.1285E+00  0.6728E-02  -1   0     19.4674  0.022038  0.1048E-01
  80   -16.00    -107.233 0.3163   0.4137E-01  0.6562E-03 -0.8828E-01  0.6447E-02  -1   0     19.4707  0.022130  0.9467E-02
