
       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cTop       cRoot       cBot      vProd    Sum(vProd) Sum(Sink)  TLevel
        [T]     [L3/L2/T]  [L3/L2/T]   [L3/L2]    [L3/L2]   [L3/L3]     [L3/L3]    [L3/L3]   [L3/L2/T]    [L3/L2]   [L3/L2]

      65.49258  0.213E+00 -0.678E-03  0.114E+01 -0.311E-02  0.330E-03  0.400E-02  0.180E-01  0.204E+00  0.976E+00  0.152E-03      55
      65.66172  0.231E+00 -0.680E-03  0.118E+01 -0.322E-02  0.330E-03  0.402E-02  0.180E-01  0.234E+00  0.102E+01  0.201E-03      56
      65.83086  0.248E+00 -0.679E-03  0.123E+01 -0.334E-02  0.330E-03  0.410E-02  0.180E-01  0.243E+00  0.106E+01  0.251E-03      57
      66.00000  0.233E+00 -0.675E-03  0.126E+01 -0.345E-02  0.330E-03  0.427E-02  0.180E-01  0.211E+00  0.109E+01  0.305E-03      58
      66.25000  0.258E+00 -0.669E-03  0.133E+01 -0.362E-02  0.330E-03  0.434E-02  0.180E-01  0.178E+00  0.114E+01  0.389E-03      59
      66.50000  0.249E+00 -0.703E-03  0.139E+01 -0.380E-02  0.330E-03  0.418E-02  0.180E-01  0.179E+00  0.118E+01  0.462E-03      60
      66.75000  0.258E+00 -0.733E-03  0.146E+01 -0.398E-02  0.330E-03  0.390E-02  0.180E-01  0.228E+00  0.124E+01  0.523E-03      61
      67.00000  0.303E+00 -0.708E-03  0.153E+01 -0.416E-02  0.330E-03  0.353E-02  0.180E-01  0.222E+00  0.129E+01  0.582E-03      62
      67.25000  0.247E+00 -0.667E-03  0.159E+01 -0.432E-02  0.330E-03  0.346E-02  0.180E-01  0.175E+00  0.134E+01  0.643E-03      63
      67.50000  0.237E+00 -0.676E-03  0.165E+01 -0.449E-02  0.330E-03  0.320E-02  0.180E-01  0.174E+00  0.138E+01  0.696E-03      64
      67.66667  0.229E+00 -0.692E-03  0.169E+01 -0.461E-02  0.330E-03  0.280E-02  0.179E-01  0.218E+00  0.142E+01  0.727E-03      65
      67.83333  0.267E+00 -0.675E-03  0.174E+01 -0.472E-02  0.330E-03  0.259E-02  0.179E-01  0.226E+00  0.146E+01  0.757E-03      66
      68.00000  0.226E+00 -0.676E-03  0.177E+01 -0.483E-02  0.330E-03  0.261E-02  0.179E-01  0.199E+00  0.149E+01  0.788E-03      67
      68.16667  0.222E+00 -0.674E-03  0.181E+01 -0.495E-02  0.330E-03  0.270E-02  0.179E-01  0.171E+00  0.152E+01  0.821E-03      68
      68.28571  0.185E+00 -0.674E-03  0.183E+01 -0.503E-02  0.330E-03  0.259E-02  0.179E-01  0.163E+00  0.154E+01  0.843E-03      69
      68.46429  0.213E+00 -0.674E-03  0.187E+01 -0.515E-02  0.330E-03  0.243E-02  0.179E-01  0.175E+00  0.157E+01  0.875E-03      70
      68.64286  0.206E+00 -0.675E-03  0.191E+01 -0.527E-02  0.330E-03  0.235E-02  0.179E-01  0.210E+00  0.161E+01  0.905E-03      71
      69.00000  0.253E+00 -0.675E-03  0.200E+01 -0.551E-02  0.330E-03  0.229E-02  0.179E-01  0.225E+00  0.169E+01  0.966E-03      72
      69.02000  0.170E+00 -0.678E-03  0.200E+01 -0.552E-02  0.330E-03  0.234E-02  0.179E-01  0.175E+00  0.169E+01  0.970E-03      73
      69.03400  0.151E+00 -0.829E-03  0.200E+01 -0.553E-02  0.330E-03  0.234E-02  0.179E-01  0.173E+00  0.169E+01  0.973E-03      74
      69.04380  0.154E+00 -0.720E-03  0.200E+01 -0.554E-02  0.330E-03  0.231E-02  0.179E-01  0.172E+00  0.169E+01  0.975E-03      75
      69.05066  0.147E+00 -0.664E-03  0.201E+01 -0.554E-02  0.330E-03  0.233E-02  0.179E-01  0.171E+00  0.170E+01  0.976E-03      76
      69.05752  0.142E+00 -0.748E-03  0.201E+01 -0.555E-02  0.330E-03  0.235E-02  0.179E-01  0.171E+00  0.170E+01  0.977E-03      77
      69.06438  0.137E+00 -0.679E-03  0.201E+01 -0.555E-02  0.330E-03  0.238E-02  0.179E-01  0.171E+00  0.170E+01  0.979E-03      78
      69.07124  0.132E+00 -0.605E-03  0.201E+01 -0.556E-02  0.330E-03  0.240E-02  0.179E-01  0.171E+00  0.170E+01  0.980E-03      79
      69.07810  0.127E+00 -0.220E-03  0.201E+01 -0.556E-02  0.330E-03  0.243E-02  0.179E-01  0.170E+00  0.170E+01  0.982E-03      80
      69.08496  0.123E+00 -0.412E-04  0.201E+01 -0.556E-02  0.330E-03  0.247E-02  0.179E-01  0.170E+00  0.170E+01  0.983E-03      81
      69.09182  0.118E+00 -0.363E-03  0.201E+01 -0.556E-02  0.330E-03  0.251E-02  0.179E-01  0.170E+00  0.170E+01  0.985E-03      82
      69.09868  0.114E+00 -0.674E-03  0.201E+01 -0.557E-02  0.330E-03  0.255E-02  0.179E-01  0.170E+00  0.170E+01  0.987E-03      83
      69.10554  0.110E+00 -0.481E-03  0.201E+01 -0.557E-02  0.330E-03  0.260E-02  0.179E-01  0.170E+00  0.170E+01  0.989E-03      84
      69.11240  0.106E+00 -0.623E-03  0.201E+01 -0.558E-02  0.330E-03  0.265E-02  0.179E-01  0.170E+00  0.171E+01  0.990E-03      85
      69.12132  0.101E+00 -0.720E-03  0.201E+01 -0.558E-02  0.330E-03  0.270E-02  0.179E-01  0.171E+00  0.171E+01  0.993E-03      86
      69.13024  0.973E-01 -0.250E-03  0.201E+01 -0.558E-02  0.330E-03  0.275E-02  0.179E-01  0.171E+00  0.171E+01  0.995E-03      87
      69.13915  0.934E-01 -0.570E-03  0.202E+01 -0.559E-02  0.330E-03  0.283E-02  0.179E-01  0.171E+00  0.171E+01  0.998E-03      88
      69.14807  0.899E-01 -0.627E-03  0.202E+01 -0.559E-02  0.330E-03  0.290E-02  0.179E-01  0.172E+00  0.171E+01  0.100E-02      89
      69.15699  0.869E-01 -0.664E-03  0.202E+01 -0.560E-02  0.330E-03  0.298E-02  0.179E-01  0.172E+00  0.171E+01  0.100E-02      90
      69.16591  0.840E-01 -0.109E-02  0.202E+01 -0.561E-02  0.330E-03  0.307E-02  0.179E-01  0.173E+00  0.171E+01  0.101E-02      91
      69.17483  0.814E-01 -0.112E-02  0.202E+01 -0.562E-02  0.330E-03  0.315E-02  0.179E-01  0.174E+00  0.172E+01  0.101E-02      92
      69.18374  0.791E-01 -0.119E-02  0.202E+01 -0.563E-02  0.330E-03  0.324E-02  0.179E-01  0.175E+00  0.172E+01  0.101E-02      93
      69.19534  0.763E-01 -0.738E-03  0.202E+01 -0.564E-02  0.330E-03  0.333E-02  0.179E-01  0.176E+00  0.172E+01  0.102E-02      94
      69.20693  0.742E-01 -0.663E-03  0.202E+01 -0.565E-02  0.330E-03  0.342E-02  0.179E-01  0.177E+00  0.172E+01  0.102E-02      95
      69.21852  0.720E-01 -0.104E-02  0.202E+01 -0.566E-02  0.330E-03  0.354E-02  0.179E-01  0.179E+00  0.172E+01  0.103E-02      96
      69.23012  0.702E-01 -0.121E-02  0.202E+01 -0.567E-02  0.330E-03  0.367E-02  0.179E-01  0.181E+00  0.173E+01  0.103E-02      97
      69.24171  0.690E-01 -0.130E-02  0.202E+01 -0.569E-02  0.330E-03  0.380E-02  0.179E-01  0.183E+00  0.173E+01  0.104E-02      98
      69.25330  0.678E-01 -0.110E-02  0.202E+01 -0.570E-02  0.330E-03  0.393E-02  0.179E-01  0.185E+00  0.173E+01  0.104E-02      99
      69.26490  0.666E-01 -0.960E-03  0.203E+01 -0.571E-02  0.330E-03  0.406E-02  0.179E-01  0.187E+00  0.173E+01  0.105E-02     100
      69.27997  0.652E-01 -0.101E-02  0.203E+01 -0.573E-02  0.330E-03  0.419E-02  0.179E-01  0.190E+00  0.174E+01  0.105E-02     101
      69.29504  0.646E-01 -0.727E-03  0.203E+01 -0.574E-02  0.330E-03  0.433E-02  0.179E-01  0.193E+00  0.174E+01  0.106E-02     102
      69.31011  0.644E-01 -0.641E-03  0.203E+01 -0.575E-02  0.330E-03  0.451E-02  0.179E-01  0.197E+00  0.174E+01  0.107E-02     103
      69.32518  0.640E-01 -0.120E-02  0.203E+01 -0.577E-02  0.330E-03  0.470E-02  0.179E-01  0.201E+00  0.174E+01  0.108E-02     104
