 ******* Program UNSATCHEM-1D
 ******* 
 Missouri Field Experiment - 1982                                        
 Date:  21. 3.    Time:  15:17:45
 Units: L = cm   , T = days , M = mmol 


 Time:       0.000000

 Node    Depth      Head Moisture       K          C         Flux        Sink     Kappa        Temp       CO2      CO2 Prod
         [L]       [L]     [-]        [L/T]      [1/L]      [L/T]        [1/T]     [-]          [-]       [-]         [-/T] 

  29   -84.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1341E-05
  28   -86.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1087E-05
  27   -88.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.8808E-06
  26   -90.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.7140E-06
  25   -92.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.5787E-06
  24   -94.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.4691E-06
  23   -96.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3803E-06
  22   -98.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.3082E-06
  21  -101.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.2249E-06
  20  -103.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1823E-06
  19  -106.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.1331E-06
  18  -109.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.9711E-07
  17  -112.00    -100.000 0.3991   0.3192E-01  0.4913E-03 -0.3192E-01  0.0000E+00  -1   0      2.0000  0.000330  0.7087E-07
