 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption - Lai - Jurinak      
  
 Date:   1.10.    Time:  14: 3:59
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   91     22.50      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   92     22.75      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   93     23.00      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   94     23.25      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   95     23.50      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   96     23.75      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   97     24.00      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   98     24.25      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
   99     24.50      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
  100     24.75      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
  101     25.00      .078      .448        .0    .264E+01     1.000      .000     1.000     1.000     1.000
end
