 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                           
  
 Date:   1.10.    Time:  14: 1: 5
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

   37    180.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   38    185.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   39    190.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   40    195.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   41    200.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   42    205.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   43    210.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   44    215.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   45    220.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   46    225.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   47    230.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   48    235.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   49    240.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   50    245.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   51    250.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   52    255.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   53    260.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   54    265.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   55    270.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   56    275.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   57    280.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   58    285.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   59    290.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   60    295.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   61    300.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   62    305.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   63    310.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   64    315.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   65    320.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   66    325.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
