 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption                      
  
 Date:   8. 7.    Time:  19:20:18
 Units: L = cm   , T = days , M = mmol 



                             Node(  1)                                 Node( 11)                                 Node( 21)                                 Node( 31)                                 Node( 44)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
         2.159        .000   .6330   20.000   .751E+01          .000   .6330   20.000   .531E+01          .000   .6330   20.000   .362E+01          .000   .6330   20.000   .252E+01          .000   .6330   20.000   .195E+01
         2.250        .000   .6330   20.000   .757E+01          .000   .6330   20.000   .541E+01          .000   .6330   20.000   .373E+01          .000   .6330   20.000   .262E+01          .000   .6330   20.000   .204E+01
         2.359        .000   .6330   20.000   .764E+01          .000   .6330   20.000   .553E+01          .000   .6330   20.000   .385E+01          .000   .6330   20.000   .273E+01          .000   .6330   20.000   .214E+01
         2.471        .000   .6330   20.000   .771E+01          .000   .6330   20.000   .565E+01          .000   .6330   20.000   .398E+01          .000   .6330   20.000   .285E+01          .000   .6330   20.000   .225E+01
         2.586        .000   .6330   20.000   .778E+01          .000   .6330   20.000   .576E+01          .000   .6330   20.000   .410E+01          .000   .6330   20.000   .296E+01          .000   .6330   20.000   .235E+01
         2.700        .000   .6330   20.000   .784E+01          .000   .6330   20.000   .587E+01          .000   .6330   20.000   .422E+01          .000   .6330   20.000   .307E+01          .000   .6330   20.000   .246E+01
         2.824        .000   .6330   20.000   .791E+01          .000   .6330   20.000   .598E+01          .000   .6330   20.000   .434E+01          .000   .6330   20.000   .319E+01          .000   .6330   20.000   .257E+01
         2.952        .000   .6330   20.000   .797E+01          .000   .6330   20.000   .609E+01          .000   .6330   20.000   .447E+01          .000   .6330   20.000   .331E+01          .000   .6330   20.000   .268E+01
         3.085        .000   .6330   20.000   .804E+01          .000   .6330   20.000   .620E+01          .000   .6330   20.000   .459E+01          .000   .6330   20.000   .343E+01          .000   .6330   20.000   .279E+01
         3.221        .000   .6330   20.000   .810E+01          .000   .6330   20.000   .630E+01          .000   .6330   20.000   .472E+01          .000   .6330   20.000   .356E+01          .000   .6330   20.000   .291E+01
         3.361        .000   .6330   20.000   .816E+01          .000   .6330   20.000   .641E+01          .000   .6330   20.000   .484E+01          .000   .6330   20.000   .368E+01          .000   .6330   20.000   .303E+01
         3.500        .000   .6330   20.000   .821E+01          .000   .6330   20.000   .651E+01          .000   .6330   20.000   .496E+01          .000   .6330   20.000   .380E+01          .000   .6330   20.000   .314E+01
         3.645        .000   .6330   20.000   .827E+01          .000   .6330   20.000   .661E+01          .000   .6330   20.000   .508E+01          .000   .6330   20.000   .392E+01          .000   .6330   20.000   .326E+01
         3.790        .000   .6330   20.000   .832E+01          .000   .6330   20.000   .670E+01          .000   .6330   20.000   .519E+01          .000   .6330   20.000   .403E+01          .000   .6330   20.000   .337E+01
         3.935        .000   .6330   20.000   .837E+01          .000   .6330   20.000   .679E+01          .000   .6330   20.000   .530E+01          .000   .6330   20.000   .415E+01          .000   .6330   20.000   .348E+01
         4.080        .000   .6330   20.000   .842E+01          .000   .6330   20.000   .688E+01          .000   .6330   20.000   .541E+01          .000   .6330   20.000   .426E+01          .000   .6330   20.000   .359E+01
         4.225        .000   .6330   20.000   .847E+01          .000   .6330   20.000   .696E+01          .000   .6330   20.000   .551E+01          .000   .6330   20.000   .437E+01          .000   .6330   20.000   .370E+01
         4.370        .000   .6330   20.000   .851E+01          .000   .6330   20.000   .704E+01          .000   .6330   20.000   .561E+01          .000   .6330   20.000   .448E+01          .000   .6330   20.000   .381E+01
