        soln	      dist_x	        time	          pH	          pe	          Si	          Na	          Al	    gibbsite	  d_gibbsite	     SiO2(a)	   d_SiO2(a)	
          53	         -52	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          54	         -53	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          55	         -54	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          56	         -55	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          57	         -56	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          58	         -57	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          59	         -58	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          60	         -59	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          61	         -60	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          62	         -61	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          63	         -62	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          64	         -63	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          65	         -64	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          66	         -65	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          67	         -66	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          68	         -67	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          69	         -68	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          70	         -69	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          71	         -70	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          72	         -71	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          73	         -72	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          74	         -73	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          75	         -74	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          76	         -75	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          77	         -76	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          78	         -77	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          79	         -78	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          80	         -79	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          81	         -80	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          82	         -81	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          83	         -82	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          84	         -83	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          85	         -84	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          86	         -85	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          87	         -86	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          88	         -87	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          89	         -88	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          90	         -89	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          91	         -90	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          92	         -91	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          93	         -92	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          94	         -93	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          95	         -94	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          96	         -95	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          97	         -96	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          98	         -97	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
          99	         -98	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         100	         -99	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	


           1	           0	           2	      9.4869	     8.54425	 2.8506e-003	 9.5049e-004	 8.8481e-006	 9.4081e-003	-1.4030e-005	 5.5246e-003	-4.8927e-003	
           2	          -1	           2	     9.45147	     8.65087	 2.7783e-003	 8.7482e-004	 8.1441e-006	 9.4322e-003	-1.1844e-006	 1.3930e-002	-4.1300e-004	
           3	          -2	           2	      9.3923	      8.7732	 2.6701e-003	 7.6172e-004	 7.0918e-006	 9.4347e-003	-1.0010e-007	 1.4800e-002	-3.4869e-005	
           4	          -3	           2	     9.30434	     8.93578	 2.5348e-003	 6.2020e-004	 5.7748e-006	 9.4350e-003	-8.6223e-009	 1.4897e-002	-2.9530e-006	
           5	          -4	           2	     9.18419	     9.08763	 2.3899e-003	 4.6859e-004	 4.3639e-006	 9.4350e-003	-9.0482e-010	 1.4908e-002	-2.5916e-007	
           6	          -5	           2	     9.03002	     9.26129	 2.2547e-003	 3.2725e-004	 3.0483e-006	 9.4350e-003	-2.1363e-010	 1.4909e-002	-2.9588e-008	
           7	          -6	           2	     8.84127	     9.45938	 2.1436e-003	 2.1105e-004	 1.9665e-006	 9.4350e-003	-9.4951e-011	 1.4909e-002	-6.8894e-009	
           8	          -7	           2	     8.61829	     9.69767	 2.0621e-003	 1.2582e-004	 1.1730e-006	 9.4350e-003	-2.4033e-011	 1.4909e-002	-1.6696e-009	
           9	          -8	           2	     8.36207	     10.0114	 2.0082e-003	 6.9514e-005	 6.4882e-007	 9.4350e-003	 4.8684e-011	 1.4909e-002	 2.2551e-009	
          10	          -9	           2	     8.07401	     10.3747	 1.9759e-003	 3.5706e-005	 3.3412e-007	 9.4350e-003	 1.6909e-010	 1.4909e-002	 8.3334e-009	
          11	         -10	           2	     7.75589	     10.7613	 1.9581e-003	 1.7114e-005	 1.6118e-007	 9.4350e-003	 4.5075e-010	 1.4909e-002	 2.2300e-008	
          12	         -11	           2	     7.41054	     11.1583	 1.9491e-003	 7.6834e-006	 7.3781e-008	 9.4350e-003	 1.1678e-009	 1.4909e-002	 5.7532e-008	
          13	         -12	           2	     7.04626	     11.5607	 1.9449e-003	 3.2433e-006	 3.3439e-008	 9.4350e-003	 2.7161e-009	 1.4909e-002	 1.3245e-007	
          14	         -13	           2	     6.69814	     11.9492	 1.9431e-003	 1.2920e-006	 1.7462e-008	 9.4350e-003	 4.1210e-009	 1.4909e-002	 1.9710e-007	
          15	         -14	           2	     6.45096	      12.251	 1.9425e-003	 4.8745e-007	 1.3075e-008	 9.4350e-003	 2.5614e-009	 1.4909e-002	 1.1900e-007	
          16	         -15	           2	     6.33318	     12.4288	 1.9423e-003	 1.7476e-007	 1.2433e-008	 9.4350e-003	 7.1057e-010	 1.4909e-002	 3.2122e-008	
          17	         -16	           2	     6.28811	     12.5228	 1.9423e-003	 5.9733e-008	 1.2419e-008	 9.4350e-003	 1.3162e-010	 1.4909e-002	 5.8386e-009	
          18	         -17	           2	     6.27228	     12.5732	 1.9423e-003	 1.9522e-008	 1.2445e-008	 9.4350e-003	 1.9848e-011	 1.4909e-002	 8.7043e-010	
          19	         -18	           2	     6.26699	      12.609	 1.9422e-003	 6.1179e-009	 1.2457e-008	 9.4350e-003	 2.6322e-012	 1.4909e-002	 1.1466e-010	
          20	         -19	           2	     6.26531	     12.6511	 1.9422e-003	 1.8436e-009	 1.2461e-008	 9.4350e-003	 3.1784e-013	 1.4909e-002	 1.3792e-011	
          21	         -20	           2	     6.26479	     12.7077	 1.9422e-003	 5.3588e-010	 1.2463e-008	 9.4350e-003	 3.5641e-014	 1.4909e-002	 1.5428e-012	
