        soln	      dist_x	        time	          pH	          pe	          Si	          Na	          Al	    gibbsite	  d_gibbsite	     SiO2(a)	   d_SiO2(a)	
         101	        -100	          69	     9.50528	     9.40332	 2.8906e-003	 9.9232e-004	 9.2373e-006	 9.4350e-003	-4.1479e-015	 1.4909e-002	-2.3090e-013	
         101	        -100	          70	     9.50613	     9.37454	 2.8925e-003	 9.9429e-004	 9.2556e-006	 9.4350e-003	-2.3857e-015	 1.4909e-002	-1.3325e-013	
         101	        -100	          71	     9.50677	     9.34553	 2.8939e-003	 9.9578e-004	 9.2694e-006	 9.4350e-003	-1.3555e-015	 1.4909e-002	-7.5719e-014	
         101	        -100	          72	     9.50725	     9.31624	 2.8950e-003	 9.9690e-004	 9.2799e-006	 9.4350e-003	-7.5909e-016	 1.4909e-002	-4.2319e-014	
         101	        -100	          73	     9.50761	     9.28674	 2.8958e-003	 9.9774e-004	 9.2876e-006	 9.4350e-003	-4.0666e-016	 1.4909e-002	-2.3288e-014	
         101	        -100	          74	     9.50787	     9.25739	 2.8964e-003	 9.9836e-004	 9.2934e-006	 9.4350e-003	-2.1688e-016	 1.4909e-002	-1.2552e-014	
         101	        -100	          75	     9.50807	      9.2287	 2.8968e-003	 9.9881e-004	 9.2977e-006	 9.4350e-003	-1.0844e-016	 1.4909e-002	-6.6421e-015	
         101	        -100	          76	     9.50821	     9.20057	 2.8971e-003	 9.9915e-004	 9.3008e-006	 9.4350e-003	-8.1331e-017	 1.4909e-002	-3.4430e-015	
         101	        -100	          77	     9.50831	     9.17368	 2.8974e-003	 9.9939e-004	 9.3030e-006	 9.4350e-003	-2.7110e-017	 1.4909e-002	-1.6808e-015	
         101	        -100	          78	     9.50839	     9.14835	 2.8975e-003	 9.9957e-004	 9.3047e-006	 9.4350e-003	-2.7110e-017	 1.4909e-002	-7.3198e-016	
