 ******* Program HYDRUS
 ******* Solute Transport with Nitrification Chain                              
  
 Date:   1.10.    Time:  14:30:40
 Units: L = cm   , T = hours, M = -    
 
 CosAlf,MaxIt,TolTh,  TolH
 1.000   20    .000  .10000
 
 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
 
     F     F     F     F     F     F     F     F     F     T     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)
 193   -192.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 194   -193.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 195   -194.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 196   -195.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 197   -196.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 198   -197.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 199   -198.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 200   -199.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
 201   -200.000       .000    1    1    .000    1.000    1.000    1.000   20.00   .0000E+00
end

 Number of species in the chain :   1


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1     .000  1.000    .500E-01    .200E+01    .100E+01   .500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
  1.0000   -.100E-05  -.6000E+01   .2500E-08   .1000E+01   .0000E+00    1.0000
  1.0000   -.126E-05  -.5899E+01   .3155E-08   .1000E+01  -.2589E-07    1.0000
  1.0000   -.159E-05  -.5798E+01   .3981E-08   .1000E+01  -.2589E-07    1.0000
  1.0000   -.201E-05  -.5697E+01   .5023E-08   .1000E+01  -.5177E-07    1.0000
  1.0000   -.254E-05  -.5596E+01   .6338E-08   .1000E+01  -.7766E-07    1.0000
  1.0000   -.320E-05  -.5495E+01   .7998E-08   .1000E+01  -.1035E-06    1.0000
  1.0000   -.404E-05  -.5394E+01   .1009E-07   .1000E+01  -.1294E-06    1.0000
