
     Time      Short.Rad.    Long.Rad.    Radiation    Sensible      Latent     Heat Flux     Balance
      [d]       [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]   [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]

   .32863E+03   .15422E+02  -.68314E+01   .85910E+01  -.10288E+00   .21095E+01  -.65843E+01   .29190E-07
   .32864E+03   .68040E+01  -.62324E+01   .57156E+00  -.52410E+00   .19030E+01   .80738E+00   .12843E-06
   .32864E+03   .68040E+01  -.59822E+01   .82176E+00  -.51669E+00   .19402E+01   .60176E+00   .37874E-07
   .32865E+03   .68040E+01  -.59363E+01   .86767E+00  -.36210E+00   .18212E+01   .59147E+00  -.26847E-07
   .32866E+03   .68040E+01  -.58926E+01   .91140E+00  -.29720E+00   .17941E+01   .58545E+00  -.30273E-08
   .32867E+03   .68040E+01  -.58627E+01   .94128E+00  -.25926E+00   .17156E+01   .51506E+00   .36688E-09
   .32868E+03   .18792E+01  -.54834E+01  -.36042E+01  -.30773E+00   .16185E+01   .49149E+01   .19590E-06
   .32869E+03   .18792E+01  -.52327E+01  -.33535E+01  -.32954E+00   .15767E+01   .46006E+01   .59860E-07
   .32870E+03   .18792E+01  -.51548E+01  -.32756E+01  -.31653E+00   .15278E+01   .44869E+01  -.73890E-07
   .32871E+03   .18792E+01  -.51018E+01  -.32226E+01  -.29748E+00   .14335E+01   .43586E+01  -.22191E-06
   .32872E+03   .64800E-01  -.50118E+01  -.49470E+01  -.38288E+00   .15765E+01   .61407E+01  -.24257E-07
   .32873E+03   .64800E-01  -.49715E+01  -.49067E+01  -.45556E+00   .16367E+01   .60878E+01   .10978E-06
   .32874E+03   .64800E-01  -.49592E+01  -.48944E+01  -.53252E+00   .17143E+01   .60762E+01  -.15145E-07
   .32875E+03   .64800E-01  -.50644E+01  -.49996E+01  -.83328E+00   .20289E+01   .61952E+01  -.18152E-06
   .32876E+03   .64800E-01  -.49461E+01  -.48813E+01  -.76491E+00   .18423E+01   .59587E+01  -.14377E-06
   .32877E+03   .64800E-01  -.49245E+01  -.48597E+01  -.67548E+00   .16733E+01   .58575E+01  -.58338E-06
   .32878E+03   .64800E-01  -.48747E+01  -.48099E+01  -.58464E+00   .15191E+01   .57444E+01   .42715E-06
   .32879E+03   .64800E-01  -.48908E+01  -.48260E+01  -.47993E+00   .13479E+01   .56939E+01  -.54264E-07
   .32880E+03   .64800E-01  -.48388E+01  -.47740E+01  -.50534E+00   .13409E+01   .56095E+01  -.17389E-06
   .32881E+03   .64800E-01  -.48430E+01  -.47782E+01  -.53699E+00   .13488E+01   .55901E+01   .14681E-06
   .32882E+03   .64800E-01  -.48186E+01  -.47538E+01  -.56603E+00   .13535E+01   .55413E+01   .17209E-06
   .32883E+03   .64800E-01  -.48380E+01  -.47732E+01  -.60024E+00   .13615E+01   .55345E+01   .55037E-07
   .32884E+03   .00000E+00  -.47958E+01  -.47958E+01  -.71920E+00   .14273E+01   .55039E+01  -.30006E-06
   .32885E+03   .00000E+00  -.47987E+01  -.47987E+01  -.83603E+00   .14676E+01   .54303E+01   .22347E-06
   .32886E+03   .00000E+00  -.47818E+01  -.47818E+01  -.95437E+00   .15038E+01   .53312E+01  -.36733E-06
   .32888E+03   .00000E+00  -.48070E+01  -.48070E+01  -.10766E+01   .15142E+01   .52446E+01  -.23830E-07
   .32889E+03   .00000E+00  -.47786E+01  -.47786E+01  -.94165E+00   .14164E+01   .52534E+01   .51879E-07
   .32889E+03   .00000E+00  -.47818E+01  -.47818E+01  -.79420E+00   .13018E+01   .52894E+01  -.15167E-07
