

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 
   331.25000   .316469E+00   .000000E+00   .157451E+00   .000000E+00  -.377737E-03-100000.000       .000  -1079.154      78
   331.29199   .319653E+00   .000000E+00   .158070E+00   .000000E+00  -.382611E-03-100000.000       .000  -1079.662      79
   331.33301   .323390E+00   .000000E+00   .158713E+00   .000000E+00  -.387344E-03-100000.000       .000  -1080.170      80
   331.37500   .328370E+00   .000000E+00   .159416E+00   .000000E+00  -.392161E-03-100000.000       .000  -1080.689      81
   331.41699   .334844E+00   .000000E+00   .160178E+00   .000000E+00  -.396946E-03-100000.000       .000  -1081.178      82
   331.45801   .342735E+00   .000000E+00   .160941E+00   .000000E+00  -.401597E-03-100000.000       .000  -1081.621      83
   331.50000   .352154E+00   .000000E+00   .161741E+00   .000000E+00  -.406341E-03-100000.000       .000  -1081.994      84
   331.54199   .362064E+00   .000000E+00   .162532E+00   .000000E+00  -.411066E-03-100000.000       .000  -1082.242      85
   331.58301   .371508E+00   .000000E+00   .163284E+00   .000000E+00  -.415678E-03-100000.000       .000  -1082.339      86
   331.62500   .380534E+00   .000000E+00   .164019E+00   .000000E+00  -.420396E-03-100000.000       .000  -1082.287      87
   331.66699   .388316E+00   .000000E+00   .164709E+00   .000000E+00  -.425118E-03-100000.000       .000  -1082.096      88
   331.70801   .394549E+00   .000000E+00   .165335E+00   .000000E+00  -.429750E-03-100000.000       .000  -1081.810      89
   331.75000   .400078E+00   .000000E+00   .165956E+00   .000000E+00  -.434508E-03-100000.000       .000  -1081.459      90
   331.79199   .404792E+00   .000000E+00   .166555E+00   .000000E+00  -.439283E-03-100000.000       .000  -1081.103      91
   331.83301   .407804E+00   .000000E+00   .167112E+00   .000000E+00  -.443964E-03-100000.000       .000  -1080.801      92
   331.87500   .410045E+00   .000000E+00   .167664E+00   .000000E+00  -.448769E-03-100000.000       .000  -1080.569      93
   331.91699   .412508E+00   .000000E+00   .168204E+00   .000000E+00  -.453580E-03-100000.000       .000  -1080.438      94
   331.95801   .414526E+00   .000000E+00   .168717E+00   .000000E+00  -.458287E-03-100000.000       .000  -1080.417      95
   332.00000   .416447E+00   .000000E+00   .169229E+00   .000000E+00  -.463103E-03-100000.000       .000  -1080.504      96
   332.04199   .418644E+00   .000000E+00   .169742E+00   .000000E+00  -.467911E-03-100000.000       .000  -1080.695      97
   332.08301   .420829E+00   .000000E+00   .170238E+00   .000000E+00  -.472595E-03-100000.000       .000  -1080.969      98
   332.12500   .422879E+00   .000000E+00   .170738E+00   .000000E+00  -.477373E-03-100000.000       .000  -1081.331      99
   332.16699   .424851E+00   .000000E+00   .171232E+00   .000000E+00  -.482133E-03-100000.000       .000  -1081.756     100
   332.20801   .426529E+00   .000000E+00   .171710E+00   .000000E+00  -.486758E-03-100000.000       .000  -1082.216     101
   332.25000   .428463E+00   .000000E+00   .172198E+00   .000000E+00  -.491463E-03-100000.000       .000  -1082.723     102
   332.29199   .430012E+00   .000000E+00   .172677E+00   .000000E+00  -.496142E-03-100000.000       .000  -1083.255     103
   332.33301   .431251E+00   .000000E+00   .173178E+00   .000000E+00  -.500690E-03-100000.000       .000  -1083.792     104
   332.37500   .434427E+00   .000000E+00   .173777E+00   .000000E+00  -.505320E-03-100000.000       .000  -1084.359     105
   332.41699   .439468E+00   .000000E+00   .174413E+00   .000000E+00  -.509918E-03-100000.000       .000  -1084.921     106
   332.45801   .446182E+00   .000000E+00   .175101E+00   .000000E+00  -.514377E-03-100000.000       .000  -1085.446     107
   332.50000   .454174E+00   .000000E+00   .175822E+00   .000000E+00  -.518919E-03-100000.000       .000  -1085.895     108
   332.54199   .463674E+00   .000000E+00   .176573E+00   .000000E+00  -.523441E-03-100000.000       .000  -1086.199     109
   332.58301   .473409E+00   .000000E+00   .177301E+00   .000000E+00  -.527849E-03-100000.000       .000  -1086.310     110
   332.62500   .482519E+00   .000000E+00   .178020E+00   .000000E+00  -.532358E-03-100000.000       .000  -1086.213     111
