 ************************************************************************
 *                                                                      *
 *                                                                      *
 *Welcome to HYDRUS-1D                                                  *
 *Parameter Estimation of Soil Hydraulic Properties                     *
 *                                                                      *
 ************************************************************************


 Program parameters
 ==================
 Max. iterations.....................(MIT)............... 50
 No. of observations.................(NOBb)............. 175


 Soil hydraulic properties
 =========================
 Residual moisture content...........(WCR)............     0.000
 Saturated moisture content..........(WCS)............     0.430
 First coefficient...................(ALPHA)..........     0.032
 Second coefficient..................(N)..............     2.657
 Saturated conductivity..............(CONDS).......... .1450E-01
 Pore conectivity factor.............(L)..............     0.660
 Moisture content....................(WCM)............     0.430
 Saturated moisture content (wetting)(WCSwet).........     0.384
 First coefficient (wettine).........(ALPHAW).........     0.067
 Saturated conductivity (wetting)....(CONDKW)......... .1000E-01


 Observed Quantity 
 ==================
    Obs     Time    Quantity     Type  Position   Weight
   AlphaW   0.94389E-01    0.18494E-02  0.90738E-01  0.98040E-01


 Contributions to the final objective function

 Measurement Set   2:   0.6413E-01

 RSQUARE for regression of predicted vs observed =0.93634


------------Observed & Fitted Quantity -----------------------------
                                                   Resi-
    No     Time           Obs        Fitted        dual   Type  Position
    1     31.000       0.02000      0.20048     -0.18048     2     1
    2     32.000       0.10000      0.22632     -0.12632     2     1
    3     33.000       0.15000      0.24944     -0.09944     2     1
    4     34.000       0.20000      0.26874     -0.06874     2     1
    5     36.000       0.25000      0.30132     -0.05132     2     1
    6     38.500       0.30000      0.32801     -0.02801     2     1
    7     42.000       0.32000      0.35245     -0.03245     2     1
    8     46.500       0.34000      0.37069     -0.03069     2     1
    9     52.000       0.36000      0.38466     -0.02466     2     1
   10     61.500       0.38000      0.39731     -0.01731     2     1
   11     83.000       0.40000      0.40929     -0.00929     2     1
   18    139.000       0.42000      0.41647      0.00353     2     1
   59    620.000       0.43470      0.41966      0.01504     2     1
   65    710.000       0.43150      0.40573      0.02577     2     1
   71    830.000       0.42620      0.39581      0.03039     2     1
   78   1430.000       0.40120      0.37219      0.02901     2     1
   85   1940.000       0.38980      0.36155      0.02825     2     1
   93   2870.000       0.37540      0.34996      0.02544     2     1
  107   4250.000       0.36450      0.33885      0.02565     2     1
  119   7340.000       0.34410      0.32385      0.02025     2     1
  128  10220.000       0.33760      0.31510      0.02250     2     1
  142  14420.000       0.32690      0.30621      0.02069     2     1
  152  21620.000       0.31080      0.29585      0.01495     2     1
  166  36320.000       0.28710      0.28254      0.00456     2     1
   12    102.000       0.02000      0.06774     -0.04774     2     2
   13    106.000       0.10000      0.11341     -0.01341     2     2
   14    108.000       0.15000      0.13836      0.01164     2     2
   15    112.000       0.20000      0.18678      0.01322     2     2
   16    121.000       0.25000      0.26382     -0.01382     2     2
   17    133.000       0.30000      0.31715     -0.01715     2     2
   19    142.000       0.32000      0.33899     -0.01899     2     2
   20    156.000       0.34000      0.36071     -0.02071     2     2
   21    176.000       0.36000      0.37911     -0.01911     2     2
   27    212.000       0.38000      0.39494     -0.01494     2     2
   31    280.000       0.40000      0.40732     -0.00732     2     2
   50    500.000       0.42000      0.41647      0.00353     2     2
   60    620.000       0.42620      0.41771      0.00849     2     2
   66    710.000       0.41540      0.40228      0.01312     2     2
   72    830.000       0.40620      0.39216      0.01404     2     2
   79   1430.000       0.38880      0.36921      0.01959     2     2
   86   1940.000       0.38380      0.35905      0.02475     2     2
   94   2870.000       0.36670      0.34781      0.01889     2     2
  108   4250.000       0.35690      0.33682      0.02008     2     2
  120   7340.000       0.34050      0.32216      0.01834     2     2
  129  10220.000       0.32720      0.31355      0.01365     2     2
  143  14420.000       0.31840      0.30478      0.01362     2     2
  153  21620.000       0.30670      0.29451      0.01219     2     2
  167  36320.000       0.29260      0.28134      0.01126     2     2
   22    179.000       0.02000      0.05748     -0.03748     2     3
   23    186.000       0.10000      0.11464     -0.01464     2     3
   24    190.000       0.15000      0.14689      0.00311     2     3
   25    196.000       0.20000      0.19418      0.00582     2     3
   26    204.000       0.25000      0.24121      0.00879     2     3
   28    225.000       0.30000      0.30877     -0.00877     2     3
   29    246.000       0.32000      0.34028     -0.02028     2     3
   30    265.000       0.34000      0.35786     -0.01786     2     3
   36    300.000       0.36000      0.37720     -0.01720     2     3
   39    365.000       0.38000      0.39458     -0.01458     2     3
   48    478.000       0.40000      0.40692     -0.00692     2     3
   61    620.000       0.41050      0.41275     -0.00225     2     3
   67    710.000       0.39820      0.39654      0.00166     2     3
   73    830.000       0.39020      0.38624      0.00396     2     3
   80   1430.000       0.37450      0.36417      0.01033     2     3
   87   1940.000       0.35950      0.35456      0.00494     2     3
   95   2870.000       0.35120      0.34362      0.00758     2     3
  109   4250.000       0.34130      0.33294      0.00836     2     3
  121   7340.000       0.32370      0.31871      0.00499     2     3
  130  10220.000       0.31960      0.31031      0.00929     2     3
  144  14420.000       0.30740      0.30171      0.00569     2     3
  154  21620.000       0.29810      0.29158      0.00652     2     3
  168  36320.000       0.27660      0.27864     -0.00204     2     3
   32    280.000       0.02000      0.06287     -0.04287     2     4
   33    286.000       0.10000      0.09963      0.00037     2     4
   34    291.000       0.15000      0.13177      0.01823     2     4
   35    299.000       0.20000      0.17712      0.02288     2     4
   37    312.000       0.25000      0.23514      0.01486     2     4
   38    345.000       0.30000      0.30730     -0.00730     2     4
   40    370.000       0.32000      0.33355     -0.01355     2     4
   41    400.000       0.34000      0.35458     -0.01458     2     4
   47    455.000       0.36000      0.37552     -0.01552     2     4
   54    550.000       0.38000      0.39328     -0.01328     2     4
   62    620.000       0.38850      0.40074     -0.01224     2     4
   68    710.000       0.37560      0.38477     -0.00917     2     4
   74    830.000       0.36920      0.37463     -0.00543     2     4
   81   1430.000       0.34860      0.35401     -0.00541     2     4
   88   1940.000       0.33830      0.34526     -0.00696     2     4
   96   2870.000       0.33090      0.33476     -0.00386     2     4
  110   4250.000       0.31910      0.32467     -0.00557     2     4
  122   7340.000       0.30380      0.31115     -0.00735     2     4
  131  10220.000       0.30170      0.30309     -0.00139     2     4
  145  14420.000       0.29070      0.29479     -0.00409     2     4
  155  21620.000       0.28500      0.28496      0.00004     2     4
  169  36320.000       0.27080      0.27243     -0.00163     2     4
   42    400.000       0.02000      0.05287     -0.03287     2     5
   43    408.000       0.10000      0.08696      0.01304     2     5
   44    415.000       0.15000      0.12382      0.02618     2     5
   45    426.000       0.20000      0.17249      0.02751     2     5
   46    440.000       0.25000      0.22282      0.02718     2     5
   49    485.000       0.30000      0.30122     -0.00122     2     5
   51    525.000       0.32000      0.33257     -0.01257     2     5
   56    560.000       0.34000      0.35115     -0.01115     2     5
   63    620.000       0.35360      0.36916     -0.01556     2     5
   69    710.000       0.34290      0.35563     -0.01273     2     5
   75    830.000       0.33830      0.34821     -0.00991     2     5
   82   1430.000       0.32480      0.33029     -0.00549     2     5
   89   1940.000       0.31340      0.32296     -0.00956     2     5
   97   2870.000       0.30570      0.31332     -0.00762     2     5
  111   4250.000       0.29030      0.30436     -0.01406     2     5
  123   7340.000       0.28760      0.29220     -0.00460     2     5
